title,company,location,salary_min,salary_max,url,created
Data Engineer,N26,Stuttgart,57824,66233,https://example.com/job/0,2026-06-03T10:00:00Z
Data Analyst,SAP,Stuttgart,57679,76766,https://example.com/job/1,2026-06-07T10:00:00Z
Data Analyst,Personio,Berlin,54488,64023,https://example.com/job/2,2026-06-01T10:00:00Z
Data Analyst,HelloFresh,Cologne,53257,72988,https://example.com/job/3,2026-06-04T10:00:00Z
Data Scientist,Delivery Hero,Frankfurt,69654,82211,https://example.com/job/4,2026-06-07T10:00:00Z
ML Engineer,SAP,Hamburg,56552,67099,https://example.com/job/5,2026-06-02T10:00:00Z
Data Analyst,Siemens,Frankfurt,61584,75465,https://example.com/job/6,2026-06-01T10:00:00Z
Python Developer,SAP,Stuttgart,,,https://example.com/job/7,2026-06-09T10:00:00Z
ML Engineer,Personio,Hamburg,62299,80432,https://example.com/job/8,2026-06-04T10:00:00Z
ML Engineer,SAP,Stuttgart,57139,65889,https://example.com/job/9,2026-06-04T10:00:00Z
ML Engineer,Delivery Hero,Berlin,60227,72781,https://example.com/job/10,2026-06-06T10:00:00Z
AI Engineer,SAP,Hamburg,55432,74412,https://example.com/job/11,2026-06-03T10:00:00Z
Python Developer,Siemens,Cologne,,,https://example.com/job/12,2026-06-09T10:00:00Z
Data Scientist,N26,Munich,73216,86529,https://example.com/job/13,2026-06-01T10:00:00Z
Data Analyst,Bosch,Hamburg,,,https://example.com/job/14,2026-06-04T10:00:00Z
AI Engineer,Trivago,Stuttgart,64179,78661,https://example.com/job/15,2026-06-03T10:00:00Z
Data Analyst,Siemens,Hamburg,54287,66327,https://example.com/job/16,2026-06-07T10:00:00Z
Data Engineer,Celonis,Cologne,56543,70473,https://example.com/job/17,2026-06-08T10:00:00Z
Data Engineer,HelloFresh,Berlin,,,https://example.com/job/18,2026-06-02T10:00:00Z
Data Analyst,Siemens,Frankfurt,66252,84015,https://example.com/job/19,2026-06-09T10:00:00Z
Data Analyst,Siemens,Berlin,,,https://example.com/job/20,2026-06-06T10:00:00Z
Data Scientist,Siemens,Berlin,,,https://example.com/job/21,2026-06-09T10:00:00Z
ML Engineer,Celonis,Munich,70317,80060,https://example.com/job/22,2026-06-04T10:00:00Z
Data Analyst,Zalando,Munich,68126,78772,https://example.com/job/23,2026-06-06T10:00:00Z
ML Engineer,N26,Frankfurt,60319,70151,https://example.com/job/24,2026-06-01T10:00:00Z
Python Developer,SAP,Munich,,,https://example.com/job/25,2026-06-09T10:00:00Z
